date;day;month;quarter;year;week_of_year;day_of_week;is_weekend
2018-07-18;18;7;3;2018;29;3;False
2018-07-19;19;7;3;2018;29;4;False
2018-07-20;20;7;3;2018;29;5;False
2018-07-21;21;7;3;2018;29;6;True
2018-07-22;22;7;3;2018;29;7;True
2018-07-23;23;7;3;2018;30;1;False
2018-07-24;24;7;3;2018;30;2;False
2018-07-25;25;7;3;2018;30;3;False
2018-07-26;26;7;3;2018;30;4;False
2018-07-27;27;7;3;2018;30;5;False
2018-07-28;28;7;3;2018;30;6;True
2018-07-29;29;7;3;2018;30;7;True
2018-07-30;30;7;3;2018;31;1;False
2018-07-31;31;7;3;2018;31;2;False
2018-08-01;1;8;3;2018;31;3;False
2018-08-02;2;8;3;2018;31;4;False
2018-08-03;3;8;3;2018;31;5;False
2018-08-04;4;8;3;2018;31;6;True
2018-08-05;5;8;3;2018;31;7;True
2018-08-06;6;8;3;2018;32;1;False
2018-08-07;7;8;3;2018;32;2;False
2018-08-08;8;8;3;2018;32;3;False
2018-08-09;9;8;3;2018;32;4;False
2018-08-10;10;8;3;2018;32;5;False
2018-08-11;11;8;3;2018;32;6;True
2018-08-12;12;8;3;2018;32;7;True
2018-08-13;13;8;3;2018;33;1;False
2018-08-14;14;8;3;2018;33;2;False
2018-08-15;15;8;3;2018;33;3;False
2018-08-16;16;8;3;2018;33;4;False
2018-08-17;17;8;3;2018;33;5;False
2018-08-18;18;8;3;2018;33;6;True
2018-08-19;19;8;3;2018;33;7;True
2018-08-20;20;8;3;2018;34;1;False
2018-08-21;21;8;3;2018;34;2;False
2018-08-22;22;8;3;2018;34;3;False
2018-08-23;23;8;3;2018;34;4;False
2018-08-24;24;8;3;2018;34;5;False
2018-08-25;25;8;3;2018;34;6;True
2018-08-26;26;8;3;2018;34;7;True
2018-08-27;27;8;3;2018;35;1;False
2018-08-28;28;8;3;2018;35;2;False
2018-08-29;29;8;3;2018;35;3;False
2018-08-30;30;8;3;2018;35;4;False
2018-08-31;31;8;3;2018;35;5;False
2018-09-01;1;9;3;2018;35;6;True
2018-09-02;2;9;3;2018;35;7;True
2018-09-03;3;9;3;2018;36;1;False
2018-09-04;4;9;3;2018;36;2;False
2018-09-05;5;9;3;2018;36;3;False
2018-09-06;6;9;3;2018;36;4;False
2018-09-07;7;9;3;2018;36;5;False
2018-09-08;8;9;3;2018;36;6;True
2018-09-09;9;9;3;2018;36;7;True
2018-09-10;10;9;3;2018;37;1;False
2018-09-11;11;9;3;2018;37;2;False
2018-09-12;12;9;3;2018;37;3;False
2018-09-13;13;9;3;2018;37;4;False
2018-09-14;14;9;3;2018;37;5;False
2018-09-15;15;9;3;2018;37;6;True
2018-09-16;16;9;3;2018;37;7;True
2018-09-17;17;9;3;2018;38;1;False
2018-09-18;18;9;3;2018;38;2;False
2018-09-19;19;9;3;2018;38;3;False
2018-09-20;20;9;3;2018;38;4;False
2018-09-21;21;9;3;2018;38;5;False
2018-09-22;22;9;3;2018;38;6;True
2018-09-23;23;9;3;2018;38;7;True
2018-09-24;24;9;3;2018;39;1;False
2018-09-25;25;9;3;2018;39;2;False
2018-09-26;26;9;3;2018;39;3;False
2018-09-27;27;9;3;2018;39;4;False
2018-09-28;28;9;3;2018;39;5;False
2018-09-29;29;9;3;2018;39;6;True
2018-09-30;30;9;3;2018;39;7;True
2018-10-01;1;10;4;2018;40;1;False
2018-10-02;2;10;4;2018;40;2;False
2018-10-03;3;10;4;2018;40;3;False
2018-10-04;4;10;4;2018;40;4;False
2018-10-05;5;10;4;2018;40;5;False
2018-10-06;6;10;4;2018;40;6;True
2018-10-07;7;10;4;2018;40;7;True
2018-10-08;8;10;4;2018;41;1;False
2018-10-09;9;10;4;2018;41;2;False
2018-10-10;10;10;4;2018;41;3;False
2018-10-11;11;10;4;2018;41;4;False
2018-10-12;12;10;4;2018;41;5;False
2018-10-13;13;10;4;2018;41;6;True
2018-10-14;14;10;4;2018;41;7;True
2018-10-15;15;10;4;2018;42;1;False
2018-10-16;16;10;4;2018;42;2;False
2018-10-17;17;10;4;2018;42;3;False
2018-10-18;18;10;4;2018;42;4;False
2018-10-19;19;10;4;2018;42;5;False
2018-10-20;20;10;4;2018;42;6;True
2018-10-21;21;10;4;2018;42;7;True
2018-10-22;22;10;4;2018;43;1;False
2018-10-23;23;10;4;2018;43;2;False
2018-10-24;24;10;4;2018;43;3;False
